Rk,Team,Conf,Rec,Elo,Prev,Change,Last 3,Next Game
78,St. Bonaventure,A10,0-0,1120,1120,0,0,Away Team
79,Colorado,P12,0-0,1119,1119,0,0,Away Team
80,New Mexico St.,WAC,0-0,1119,1119,0,0,Away Team
81,South Dakota St.,Sum,0-0,1118,1118,0,0,Away Team
82,Oregon,P12,0-0,1116,1116,0,0,Away Team
83,Maryland,B10,0-0,1113,1113,0,0,Away Team
84,Drake,MVC,0-0,1106,1106,0,0,Away Team
85,Richmond,A10,0-0,1106,1106,0,0,Away Team
86,Belmont,OVC,0-0,1105,1105,0,0,Away Team
87,Northwestern,B10,0-0,1105,1105,0,0,Away Team
88,Penn St.,B10,0-0,1104,1104,0,0,Away Team
89,Iona,MAAC,0-0,1100,1100,0,0,Away Team
90,UNLV,MWC,0-0,1098,1098,0,0,Away Team
91,Northern Iowa,MVC,0-0,1094,1094,0,0,Away Team
92,Middle Tennessee,CUSA,0-0,1092,1092,0,0,Away Team
93,Grand Canyon,WAC,0-0,1091,1091,0,0,Away Team
94,Wichita St.,Amer,0-0,1091,1091,0,0,Away Team
95,Toledo,MAC,0-0,1090,1090,0,0,Away Team
96,Bradley,MVC,0-0,1089,1089,0,0,Away Team
97,Arizona St.,P12,0-0,1089,1089,0,0,Away Team
98,Tulane,Amer,0-0,1087,1087,0,0,Away Team
99,South Carolina,SEC,0-0,1084,1084,0,0,Away Team
100,Louisiana Tech,CUSA,0-0,1081,1081,0,0,Away Team
101,Cincinnati,Amer,0-0,1081,1081,0,0,Away Team
102,Saint Peter's,MAAC,0-0,1081,1081,0,0,Away Team
103,DePaul,BE,0-0,1075,1075,0,0,Away Team
104,UCF,Amer,0-0,1070,1070,0,0,Away Team
105,Florida St.,ACC,0-0,1069,1069,0,0,Away Team
106,Stanford,P12,0-0,1068,1068,0,0,Away Team
107,Princeton,Ivy,0-0,1067,1067,0,0,Away Team
108,Mississippi,SEC,0-0,1067,1067,0,0,Away Team
109,Minnesota,B10,0-0,1058,1058,0,0,Away Team
110,Washington,P12,0-0,1058,1058,0,0,Away Team
111,Wofford,SC,0-0,1056,1056,0,0,Away Team
112,Western Kentucky,CUSA,0-0,1054,1054,0,0,Away Team
113,George Mason,A10,0-0,1054,1054,0,0,Away Team
114,Boston College,ACC,0-0,1051,1051,0,0,Away Team
115,Nevada,MWC,0-0,1051,1051,0,0,Away Team
116,Temple,Amer,0-0,1050,1050,0,0,Away Team
117,Colgate,Pat,0-0,1049,1049,0,0,Away Team
118,Morehead St.,OVC,0-0,1048,1048,0,0,Away Team
119,Utah Valley,WAC,0-0,1048,1048,0,0,Away Team
120,Hofstra,CAA,0-0,1044,1044,0,0,Away Team
121,Butler,BE,0-0,1043,1043,0,0,Away Team
